Year,Month_Name,Date,State,Vehicle_Class,Vehicle_Category,Vehicle_Type,EV_Sales_Quantity,Cluster
2014.0,jan,1/1/2014,12,46,3,9,0.0,0
2014.0,jan,1/1/2014,12,47,3,9,0.0,0
2014.0,jan,1/1/2014,12,50,4,11,0.0,0
2014.0,jan,1/1/2014,12,51,4,11,0.0,0
2014.0,jan,1/1/2014,12,54,4,11,0.0,0
2014.0,jan,1/1/2014,12,58,1,2,0.0,1
2014.0,jan,1/1/2014,12,59,1,5,0.0,1
2014.0,jan,1/1/2014,12,63,4,11,0.0,0
2014.0,jan,1/1/2014,11,1,4,11,1.0,2
2014.0,jan,1/1/2014,11,2,4,11,0.0,2
2014.0,jan,1/1/2014,11,8,4,11,0.0,2
2014.0,jan,1/1/2014,11,9,3,9,0.0,2
2014.0,jan,1/1/2014,11,13,4,11,0.0,2
2014.0,jan,1/1/2014,11,14,4,11,0.0,2
2014.0,jan,1/1/2014,11,15,4,11,0.0,2
2014.0,jan,1/1/2014,11,19,4,11,0.0,2
2014.0,jan,1/1/2014,11,20,3,10,0.0,2
2014.0,jan,1/1/2014,11,22,4,11,0.0,2
2014.0,jan,1/1/2014,11,25,4,11,0.0,2
2014.0,jan,1/1/2014,11,26,4,11,0.0,2
2014.0,jan,1/1/2014,11,27,4,11,0.0,2
2014.0,jan,1/1/2014,11,28,4,11,0.0,2
2014.0,jan,1/1/2014,11,33,4,11,0.0,2
2014.0,jan,1/1/2014,11,31,0,0,0.0,1
2014.0,jan,1/1/2014,11,38,0,0,0.0,1
2014.0,jan,1/1/2014,11,39,2,8,0.0,0
2014.0,jan,1/1/2014,11,40,2,7,1.0,0
2014.0,jan,1/1/2014,11,46,3,9,0.0,0
2014.0,jan,1/1/2014,11,54,4,11,0.0,0
2014.0,jan,1/1/2014,11,58,1,2,0.0,1
2014.0,jan,1/1/2014,11,59,1,5,0.0,1
2014.0,jan,1/1/2014,11,63,4,11,0.0,0
2014.0,jan,1/1/2014,14,1,4,11,0.0,2
2014.0,jan,1/1/2014,14,2,4,11,0.0,2
2014.0,jan,1/1/2014,14,9,3,9,0.0,2
2014.0,jan,1/1/2014,14,14,4,11,0.0,2
2014.0,jan,1/1/2014,14,21,4,11,0.0,2
2014.0,jan,1/1/2014,14,26,4,11,0.0,2
2014.0,jan,1/1/2014,14,33,4,11,0.0,2
2014.0,jan,1/1/2014,14,31,0,0,0.0,1
2014.0,jan,1/1/2014,14,38,0,0,0.0,1
2014.0,jan,1/1/2014,14,39,2,8,0.0,0
2014.0,jan,1/1/2014,14,40,2,7,0.0,0
2014.0,jan,1/1/2014,14,47,3,9,0.0,0
2014.0,jan,1/1/2014,14,58,1,2,0.0,1
2014.0,jan,1/1/2014,14,59,1,5,1.0,1
2014.0,jan,1/1/2014,14,63,4,11,0.0,0
2014.0,jan,1/1/2014,14,64,4,11,0.0,0
2014.0,jan,1/1/2014,14,66,4,11,0.0,0
2014.0,jan,1/1/2014,14,69,4,11,0.0,0
2014.0,jan,1/1/2014,15,0,4,11,0.0,2
2014.0,jan,1/1/2014,15,1,4,11,0.0,2
2014.0,jan,1/1/2014,15,2,4,11,0.0,2
2014.0,jan,1/1/2014,15,5,4,11,0.0,2
2014.0,jan,1/1/2014,15,9,3,9,0.0,2
2014.0,jan,1/1/2014,15,13,4,11,0.0,2
2014.0,jan,1/1/2014,15,14,4,11,0.0,2
2014.0,jan,1/1/2014,15,15,4,11,0.0,2
2014.0,jan,1/1/2014,15,19,4,11,0.0,2
2014.0,jan,1/1/2014,15,20,3,10,0.0,2
2014.0,jan,1/1/2014,15,21,4,11,0.0,2
2014.0,jan,1/1/2014,15,22,4,11,0.0,2
2014.0,jan,1/1/2014,15,23,4,11,0.0,2
2014.0,jan,1/1/2014,15,26,4,11,0.0,2
2014.0,jan,1/1/2014,15,27,4,11,0.0,2
2014.0,jan,1/1/2014,15,33,4,11,0.0,2
2014.0,jan,1/1/2014,15,31,0,0,18.0,1
2014.0,jan,1/1/2014,15,32,0,0,0.0,1
2014.0,jan,1/1/2014,15,35,4,11,0.0,0
2014.0,jan,1/1/2014,15,38,0,0,6.0,1
2014.0,jan,1/1/2014,15,39,2,8,1.0,0
2014.0,jan,1/1/2014,15,40,2,7,19.0,0
2014.0,jan,1/1/2014,15,43,0,1,0.0,1
2014.0,jan,1/1/2014,15,45,0,0,0.0,1
2014.0,jan,1/1/2014,15,46,3,9,0.0,0
2014.0,jan,1/1/2014,15,47,3,9,0.0,0
2014.0,jan,1/1/2014,15,48,4,11,0.0,0
2014.0,jan,1/1/2014,15,49,4,11,0.0,0
2014.0,jan,1/1/2014,15,50,4,11,0.0,0
2014.0,jan,1/1/2014,15,51,4,11,0.0,0
2014.0,jan,1/1/2014,15,58,1,2,0.0,1
2014.0,jan,1/1/2014,15,59,1,5,0.0,1
2014.0,jan,1/1/2014,15,60,1,4,0.0,1
2014.0,jan,1/1/2014,15,61,4,11,0.0,0
2014.0,jan,1/1/2014,15,63,4,11,0.0,0
2014.0,jan,1/1/2014,15,65,4,11,0.0,0
2014.0,jan,1/1/2014,15,66,4,11,0.0,0
2014.0,jan,1/1/2014,15,69,4,11,0.0,0
2014.0,jan,1/1/2014,15,70,4,11,0.0,0
2014.0,jan,1/1/2014,15,71,4,11,0.0,0
2014.0,jan,1/1/2014,16,0,4,11,0.0,2
2014.0,jan,1/1/2014,16,1,4,11,0.0,2
2014.0,jan,1/1/2014,16,2,4,11,0.0,2
2014.0,jan,1/1/2014,16,5,4,11,0.0,2
2014.0,jan,1/1/2014,16,7,4,11,0.0,2
2014.0,jan,1/1/2014,16,9,3,9,0.0,2
2014.0,jan,1/1/2014,16,11,4,11,0.0,2
2014.0,jan,1/1/2014,16,12,4,11,0.0,2
2014.0,jan,1/1/2014,16,13,4,11,0.0,2
2014.0,jan,1/1/2014,16,15,4,11,0.0,2
2014.0,jan,1/1/2014,16,19,4,11,0.0,2
2014.0,jan,1/1/2014,16,20,3,10,0.0,2
2014.0,jan,1/1/2014,16,22,4,11,0.0,2
2014.0,jan,1/1/2014,16,26,4,11,0.0,2
2014.0,jan,1/1/2014,16,28,4,11,0.0,2
2014.0,jan,1/1/2014,16,29,4,11,0.0,2
2014.0,jan,1/1/2014,16,33,4,11,0.0,2
2014.0,jan,1/1/2014,16,31,0,0,3.0,1
2014.0,jan,1/1/2014,16,39,2,8,0.0,0
2014.0,jan,1/1/2014,16,40,2,7,1.0,0
2014.0,jan,1/1/2014,16,47,3,9,0.0,0
2014.0,jan,1/1/2014,16,50,4,11,0.0,0
2014.0,jan,1/1/2014,16,51,4,11,0.0,0
2014.0,jan,1/1/2014,16,54,4,11,0.0,0
2014.0,jan,1/1/2014,16,55,4,11,0.0,0
2014.0,jan,1/1/2014,16,58,1,2,0.0,1
2014.0,jan,1/1/2014,16,59,1,5,0.0,1
2014.0,jan,1/1/2014,16,60,1,4,0.0,1
2014.0,jan,1/1/2014,16,69,4,11,0.0,0
2014.0,jan,1/1/2014,16,70,4,11,0.0,0
2014.0,jan,1/1/2014,17,26,4,11,0.0,2
2014.0,jan,1/1/2014,17,39,2,8,0.0,0
2014.0,jan,1/1/2014,17,40,2,7,0.0,0
2014.0,jan,1/1/2014,19,0,4,11,0.0,2
2014.0,jan,1/1/2014,19,1,4,11,0.0,2
2014.0,jan,1/1/2014,19,2,4,11,0.0,2
2014.0,jan,1/1/2014,19,5,4,11,0.0,2
2014.0,jan,1/1/2014,19,9,3,9,0.0,2
2014.0,jan,1/1/2014,19,10,4,11,0.0,2
2014.0,jan,1/1/2014,19,12,4,11,0.0,2
2014.0,jan,1/1/2014,19,13,4,11,0.0,2
2014.0,jan,1/1/2014,19,15,4,11,0.0,2
2014.0,jan,1/1/2014,19,16,4,11,0.0,2
2014.0,jan,1/1/2014,19,19,4,11,0.0,2
2014.0,jan,1/1/2014,19,18,1,6,0.0,1
2014.0,jan,1/1/2014,19,22,4,11,0.0,2
2014.0,jan,1/1/2014,19,23,4,11,0.0,2
2014.0,jan,1/1/2014,19,24,4,11,0.0,2
2014.0,jan,1/1/2014,19,25,4,11,0.0,2
2014.0,jan,1/1/2014,19,26,4,11,0.0,2
2014.0,jan,1/1/2014,19,27,4,11,0.0,2
2014.0,jan,1/1/2014,19,28,4,11,0.0,2
2014.0,jan,1/1/2014,19,33,4,11,0.0,2
2014.0,jan,1/1/2014,19,31,0,0,78.0,1
2014.0,jan,1/1/2014,19,32,0,0,0.0,1
2014.0,jan,1/1/2014,19,38,0,0,4.0,1
2014.0,jan,1/1/2014,19,39,2,8,0.0,0
2014.0,jan,1/1/2014,19,40,2,7,3.0,0
2014.0,jan,1/1/2014,19,45,0,0,0.0,1
2014.0,jan,1/1/2014,19,46,3,9,0.0,0
2014.0,jan,1/1/2014,19,47,3,9,0.0,0
2014.0,jan,1/1/2014,19,51,4,11,0.0,0
2014.0,jan,1/1/2014,19,54,4,11,0.0,0
2014.0,jan,1/1/2014,19,58,1,2,0.0,1
2014.0,jan,1/1/2014,19,59,1,5,0.0,1
2014.0,jan,1/1/2014,19,60,1,4,0.0,1
2014.0,jan,1/1/2014,19,61,4,11,0.0,0
2014.0,jan,1/1/2014,19,63,4,11,0.0,0
2014.0,jan,1/1/2014,19,64,4,11,0.0,0
2014.0,jan,1/1/2014,19,65,4,11,0.0,0
2014.0,jan,1/1/2014,19,66,4,11,0.0,0
2014.0,jan,1/1/2014,19,67,4,11,0.0,0
2014.0,jan,1/1/2014,19,70,4,11,0.0,0
2014.0,jan,1/1/2014,19,71,4,11,0.0,0
2014.0,jan,1/1/2014,21,2,4,11,0.0,2
2014.0,jan,1/1/2014,21,9,3,9,0.0,2
2014.0,jan,1/1/2014,21,22,4,11,0.0,2
2014.0,jan,1/1/2014,21,26,4,11,0.0,2
2014.0,jan,1/1/2014,21,33,4,11,0.0,2
2014.0,jan,1/1/2014,21,31,0,0,0.0,1
2014.0,jan,1/1/2014,21,38,0,0,0.0,1
2014.0,jan,1/1/2014,21,39,2,8,0.0,0
2014.0,jan,1/1/2014,21,40,2,7,0.0,0
2014.0,jan,1/1/2014,21,58,1,2,0.0,1
2014.0,jan,1/1/2014,21,59,1,5,0.0,1
2014.0,jan,1/1/2014,21,66,4,11,0.0,0
2014.0,jan,1/1/2014,18,0,4,11,0.0,2
2014.0,jan,1/1/2014,18,1,4,11,0.0,2
2014.0,jan,1/1/2014,18,2,4,11,0.0,2
2014.0,jan,1/1/2014,18,5,4,11,0.0,2
2014.0,jan,1/1/2014,18,9,3,9,0.0,2
2014.0,jan,1/1/2014,18,13,4,11,0.0,2
2014.0,jan,1/1/2014,18,15,4,11,0.0,2
2014.0,jan,1/1/2014,18,16,4,11,0.0,2
2014.0,jan,1/1/2014,18,20,3,10,0.0,2
2014.0,jan,1/1/2014,18,22,4,11,0.0,2
2014.0,jan,1/1/2014,18,23,4,11,0.0,2
2014.0,jan,1/1/2014,18,24,4,11,0.0,2
2014.0,jan,1/1/2014,18,26,4,11,0.0,2
2014.0,jan,1/1/2014,18,27,4,11,0.0,2
2014.0,jan,1/1/2014,18,28,4,11,0.0,2
2014.0,jan,1/1/2014,18,33,4,11,0.0,2
2014.0,jan,1/1/2014,18,31,0,0,4.0,1
2014.0,jan,1/1/2014,18,38,0,0,0.0,1
2014.0,jan,1/1/2014,18,39,2,8,0.0,0
2014.0,jan,1/1/2014,18,40,2,7,0.0,0
2014.0,jan,1/1/2014,18,47,3,9,0.0,0
2014.0,jan,1/1/2014,18,50,4,11,0.0,0
2014.0,jan,1/1/2014,18,55,4,11,0.0,0
2014.0,jan,1/1/2014,18,58,1,2,0.0,1
2014.0,jan,1/1/2014,18,59,1,5,0.0,1
2014.0,jan,1/1/2014,18,64,4,11,0.0,0
2014.0,jan,1/1/2014,18,65,4,11,0.0,0
2014.0,jan,1/1/2014,18,66,4,11,0.0,0
2014.0,jan,1/1/2014,18,71,4,11,0.0,0
2014.0,jan,1/1/2014,22,1,4,11,0.0,2
2014.0,jan,1/1/2014,22,2,4,11,0.0,2
2014.0,jan,1/1/2014,22,9,3,9,0.0,2
2014.0,jan,1/1/2014,22,13,4,11,0.0,2
2014.0,jan,1/1/2014,22,19,4,11,0.0,2
2014.0,jan,1/1/2014,22,22,4,11,0.0,2
2014.0,jan,1/1/2014,22,26,4,11,0.0,2
2014.0,jan,1/1/2014,22,30,2,8,0.0,0
2014.0,jan,1/1/2014,22,33,4,11,0.0,2
2014.0,jan,1/1/2014,22,31,0,0,0.0,1
2014.0,jan,1/1/2014,22,38,0,0,0.0,1
2014.0,jan,1/1/2014,22,39,2,8,0.0,0
2014.0,jan,1/1/2014,22,40,2,7,0.0,0
2014.0,jan,1/1/2014,22,59,1,5,0.0,1
2014.0,jan,1/1/2014,22,63,4,11,0.0,0
2014.0,jan,1/1/2014,23,1,4,11,0.0,2
2014.0,jan,1/1/2014,23,2,4,11,0.0,2
2014.0,jan,1/1/2014,23,9,3,9,0.0,2
2014.0,jan,1/1/2014,23,13,4,11,0.0,2
2014.0,jan,1/1/2014,23,14,4,11,0.0,2
2014.0,jan,1/1/2014,23,15,4,11,0.0,2
2014.0,jan,1/1/2014,23,16,4,11,0.0,2
2014.0,jan,1/1/2014,23,26,4,11,0.0,2
2014.0,jan,1/1/2014,23,33,4,11,0.0,2
2014.0,jan,1/1/2014,23,31,0,0,0.0,1
2014.0,jan,1/1/2014,23,38,0,0,0.0,1
2014.0,jan,1/1/2014,23,39,2,8,0.0,0
2014.0,jan,1/1/2014,23,40,2,7,0.0,0
2014.0,jan,1/1/2014,23,59,1,5,0.0,1
2014.0,jan,1/1/2014,24,1,4,11,0.0,2
2014.0,jan,1/1/2014,24,2,4,11,0.0,2
2014.0,jan,1/1/2014,24,5,4,11,0.0,2
2014.0,jan,1/1/2014,24,9,3,9,0.0,2
2014.0,jan,1/1/2014,24,10,4,11,0.0,2
2014.0,jan,1/1/2014,24,13,4,11,0.0,2
2014.0,jan,1/1/2014,24,15,4,11,0.0,2
2014.0,jan,1/1/2014,24,19,4,11,0.0,2
2014.0,jan,1/1/2014,24,20,3,10,0.0,2
2014.0,jan,1/1/2014,24,21,4,11,0.0,2
2014.0,jan,1/1/2014,24,26,4,11,1.0,2
2014.0,jan,1/1/2014,24,27,4,11,0.0,2
2014.0,jan,1/1/2014,24,30,2,8,0.0,0
2014.0,jan,1/1/2014,24,33,4,11,0.0,2
2014.0,jan,1/1/2014,24,31,0,0,2.0,1
2014.0,jan,1/1/2014,24,32,0,0,0.0,1
2014.0,jan,1/1/2014,24,38,0,0,3.0,1
